;Date received;Product;Sub-product;Company;State;Submitted via;Timely response?;Consumer disputed?
56993;03/24/2015;Payday loan;Payday loan;Community Choice Financial, Inc.;AL;Web;Yes;No
57150;03/19/2015;Debt collection;Medical;Accounts Receivable Consultants Inc.;TX;Web;Yes;No
57207;03/24/2015;Debt collection;Other (i.e. phone, health club, etc.);First Credit Services Inc.;NY;Web;Yes;No
57286;03/19/2015;Debt collection;I do not know;BB&T Financial;MD;Web;Yes;No
57299;03/19/2015;Debt collection;I do not know;SunTrust Banks, Inc.;MD;Web;Yes;Yes
57319;03/19/2015;Debt collection;I do not know;FC HoldCo LLC;MD;Web;Yes;Yes
57420;03/24/2015;Debt collection;Medical;The Affiliated Group, Inc;MD;Web;Yes;No
57898;03/25/2015;Debt collection;Other (i.e. phone, health club, etc.);Fairway Collections, LLC;WA;Web;Yes;Yes
57992;04/03/2015;Debt collection;Other (i.e. phone, health club, etc.);ERC;CA;Web;Yes;No
58003;04/03/2015;Debt collection;Other (i.e. phone, health club, etc.);FAIR COLLECTIONS & OUTSOURCING, INC.;NY;Web;Yes;Yes
58423;04/09/2015;Debt collection;I do not know;Commonwealth Financial Systems, Inc.;OK;Web;Yes;Yes
58436;04/09/2015;Debt collection;Payday loan;Aargon Agency, Inc.;WI;Web;Yes;No
58903;12/09/2016;Debt collection;Medical;Meade & Associates, Inc.;OH;Web;Yes;No
59002;03/20/2015;Debt collection;Other (i.e. phone, health club, etc.);Coast Professional, Inc.;CA;Web;Yes;No
59014;03/20/2015;Debt collection;I do not know;American Credit Acceptance, LLC;MD;Web;Yes;Yes
59066;04/06/2015;Debt collection;Other (i.e. phone, health club, etc.);Focus Holding Company;NY;Web;No;No
59164;04/09/2015;Debt collection;Credit card;Atlantic Credit & Finance, Inc.;TX;Web;Yes;No
59375;03/21/2015;Payday loan;Payday loan;Cash Express, LLC;TN;Web;No;No
59929;03/26/2015;Debt collection;Other (i.e. phone, health club, etc.);Enova International, Inc.;OH;Web;Yes;No
59947;03/23/2015;Debt collection;Other (i.e. phone, health club, etc.);Stellar Recovery Inc.;GA;Web;Yes;No
60149;03/27/2015;Debt collection;Other (i.e. phone, health club, etc.);National Commercial Services, Inc;KS;Web;Yes;No
60544;04/11/2015;Debt collection;I do not know;Malcolm S. Gerald and Associates, Inc.;NJ;Web;Yes;Yes
60548;04/02/2015;Debt collection;Other (i.e. phone, health club, etc.);National Credit Systems,Inc.;TX;Web;Yes;No
60699;04/16/2015;Debt collection;Other (i.e. phone, health club, etc.);National Credit Systems,Inc.;CO;Web;Yes;No
60803;04/07/2015;Debt collection;Medical;R.M. Galicia, Inc.;CA;Web;Yes;No
60877;04/08/2015;Debt collection;Credit card;Citibank;NY;Web;Yes;No
61123;04/13/2015;Debt collection;I do not know;First National Collection Bureau, Inc.;OK;Web;Yes;No
61481;05/07/2015;Debt collection;I do not know;Holloway Credit Solutions;GA;Web;Yes;No
61913;04/28/2015;Debt collection;I do not know;Bank of America;FL;Web;Yes;No
62038;05/07/2015;Debt collection;Credit card;Dynamic Recovery Solutions, LLC;AZ;Web;Yes;Yes
62171;04/14/2015;Debt collection;Medical;Harris & Harris, Ltd.;CA;Web;Yes;No
62252;05/13/2015;Debt collection;Non-federal student loan;Bank of America;WA;Web;Yes;No
62765;05/14/2015;Debt collection;Medical;Revenue Recovery Corporation;TN;Web;Yes;No
62783;04/20/2015;Debt collection;Credit card;Consumer Asset Management (Texas);WV;Web;Yes;No
62806;04/21/2015;Debt collection;Medical;USCB, INC.;CA;Web;Yes;No
62951;04/24/2015;Debt collection;Other (i.e. phone, health club, etc.);ERC;TX;Web;Yes;Yes
62957;05/19/2015;Debt collection;Mortgage;Ocwen;IL;Web;Yes;Yes
63010;05/19/2015;Debt collection;I do not know;FC HoldCo LLC;MD;Web;Yes;No
63193;05/08/2015;Debt collection;Credit card;Barclays PLC;CA;Web;Yes;No
63244;05/19/2015;Debt collection;Medical;Medical Business Bureau;TX;Web;Yes;No
63299;04/29/2015;Debt collection;Other (i.e. phone, health club, etc.);I.Q. Data International, Inc.;VA;Web;Yes;No
63328;05/09/2015;Debt collection;Other (i.e. phone, health club, etc.);Credit Protection Association, L.P.;VA;Web;Yes;No
63348;05/10/2015;Debt collection;Auto;Duncan Solutions, lnc.;MD;Web;Yes;No
63394;05/19/2015;Debt collection;Credit card;USAA Savings;MO;Web;Yes;Yes
63466;04/24/2015;Debt collection;I do not know;Stallings Financial Group, Inc.;GA;Web;Yes;Yes
63506;05/19/2015;Debt collection;Other (i.e. phone, health club, etc.);Receivables Performance Management LLC;WA;Web;Yes;No
63690;05/05/2015;Debt collection;Medical;Express Recovery Services, Inc.;TX;Web;Yes;No
63844;04/30/2015;Debt collection;Other (i.e. phone, health club, etc.);Receivables Performance Management LLC;TX;Web;Yes;Yes
63928;04/21/2015;Debt collection;Medical;Aargon Agency, Inc.;TX;Web;No;No
63938;04/30/2015;Debt collection;Other (i.e. phone, health club, etc.);Penn Credit Corporation;VA;Web;Yes;No
64140;05/06/2015;Debt collection;Medical;Louisiana Recovery Services Inc.;LA;Web;Yes;No
64208;05/26/2015;Debt collection;I do not know;ERC;CO;Web;Yes;No
64232;05/15/2015;Debt collection;Payday loan;Cottonwood Financial Ltd.;TX;Web;Yes;No
64258;05/15/2015;Debt collection;Medical;Allied Collection Services, Inc. (Nevada);NV;Web;Yes;Yes
64504;05/15/2015;Debt collection;Other (i.e. phone, health club, etc.);MRS BPO, L.L.C.;WA;Web;Yes;No
64576;05/20/2015;Debt collection;Other (i.e. phone, health club, etc.);Sterling Jewelers Inc.;CA;Web;Yes;No
64649;05/06/2015;Debt collection;Other (i.e. phone, health club, etc.);Amsher Collection Services, Inc.;OR;Web;Yes;No
64684;05/27/2015;Debt collection;Auto;PayPal Holdings, Inc.;CA;Web;Yes;No
64736;05/27/2015;Debt collection;Non-federal student loan;Allied Interstate LLC;AZ;Web;Yes;No
64828;05/27/2015;Debt collection;Medical;HCFS Health Care Financial Services, Inc.;TX;Web;Yes;Yes
64853;04/22/2015;Debt collection;I do not know;Bryant Bryant & Associates LLC;CA;Web;No;No
65053;05/16/2015;Debt collection;Other (i.e. phone, health club, etc.);ERC;CA;Web;Yes;No
65220;05/27/2015;Debt collection;I do not know;Scherr & McClure;FL;Web;Yes;No
65271;05/12/2015;Debt collection;I do not know;Turning Point Solutions LLC;UT;Web;Yes;No
65334;05/13/2015;Debt collection;Other (i.e. phone, health club, etc.);Ray Klein, Inc.;AL;Web;Yes;No
65524;05/21/2015;Debt collection;Credit card;Retrieval-Masters Creditors Bureau, Inc.;SC;Web;Yes;No
65535;05/21/2015;Debt collection;Other (i.e. phone, health club, etc.);ERC;FL;Web;Yes;No
